year,STATE_ABBR,COUNTY_NAME,geoid_int,DEMO_VOTE,REP_VOTE,TOTAL_VOTE,DEMO_PER,REP_PER
2020,AL,AUTAUGA,1001,7503,19838,27770,0.270183651,0.714368023
2020,AL,BALDWIN,1003,24578,83544,109679,0.2240903,0.761713728
2020,AL,BARBOUR,1005,4816,5622,10518,0.457881727,0.534512265
2020,AL,BIBB,1007,1986,7525,9595,0.206982804,0.784262637
2020,AL,BLOUNT,1009,2640,24711,27588,0.09569378,0.895715528
2020,AL,BULLOCK,1011,3446,1146,4613,0.747019293,0.248428355
2020,AL,BUTLER,1013,3965,5458,9488,0.41789629,0.575252951
2020,AL,CALHOUN,1015,15216,35101,50983,0.298452425,0.688484397
2020,AL,CHAMBERS,1017,6365,8753,15284,0.416448574,0.572690395
2020,AL,CHEROKEE,1019,1624,10583,12301,0.132021787,0.860336558
2020,AL,CHILTON,1021,3073,16085,19310,0.159140342,0.832988089
2020,AL,CHOCTAW,1023,3127,4296,7464,0.418944266,0.575562701
2020,AL,CLARKE,1025,5755,7324,13135,0.438142368,0.557594214
2020,AL,CLAY,1027,1267,5601,6930,0.182828283,0.808225108
2020,AL,CLEBURNE,1029,675,6484,7227,0.093399751,0.897191089
2020,AL,COFFEE,1031,5076,16899,22275,0.227878788,0.758653199
2020,AL,COLBERT,1033,8343,19203,27886,0.299182385,0.688625117
2020,AL,CONECUH,1035,2966,3442,6441,0.460487502,0.53438907
2020,AL,COOSA,1037,1796,3631,5479,0.327797043,0.662712174
2020,AL,COVINGTON,1039,2721,14586,17430,0.156110155,0.836833046
2020,AL,CRENSHAW,1041,1700,4864,6617,0.256914009,0.735076319
2020,AL,CULLMAN,1043,4478,36880,41851,0.106998638,0.881221476
2020,AL,DALE,1045,5170,14303,19738,0.2619313,0.724642821
2020,AL,DALLAS,1047,12230,5524,17864,0.684617107,0.309225258
2020,AL,DEKALB,1049,4281,24767,29356,0.145830495,0.843677613
2020,AL,ELMORE,1051,10367,30164,41030,0.252668779,0.735169388
2020,AL,ESCAMBIA,1053,4918,10869,15910,0.309113765,0.683155248
2020,AL,ETOWAH,1055,11567,35528,47728,0.242352497,0.744384847
2020,AL,FAYETTE,1057,1395,7300,8766,0.159137577,0.832762948
2020,AL,FRANKLIN,1059,2086,10376,12578,0.165845126,0.824932422
2020,AL,GENEVA,1061,1595,10848,12545,0.127142288,0.864726983
2020,AL,GREENE,1063,3884,875,4775,0.813403141,0.183246073
2020,AL,HALE,1065,4663,3192,7900,0.590253165,0.404050633
2020,AL,HENRY,1067,2606,6607,9298,0.280275328,0.710582921
2020,AL,HOUSTON,1069,12917,32618,46173,0.279752236,0.706430165
2020,AL,JACKSON,1071,3717,19670,23636,0.157260112,0.832205111
2020,AL,JEFFERSON,1073,181688,138843,325848,0.557585132,0.426097444
2020,AL,LAMAR,1075,978,6174,7193,0.135965522,0.858334492
2020,AL,LAUDERDALE,1077,11915,31721,44339,0.26872505,0.715419834
2020,AL,LAWRENCE,1079,3562,12322,16031,0.222194498,0.768635768
2020,AL,LEE,1081,27860,42221,71449,0.38992848,0.590924995
2020,AL,LIMESTONE,1083,13672,34640,49235,0.277688636,0.703564537
2020,AL,LOWNDES,1085,4972,1836,6835,0.727432334,0.26861741
